ioc,threat_type,threat_type_desc,ioc_type,ioc_type_desc,malware,malware_printable,malware_alias,malware_malpedia,confidence_level,first_seen,last_seen,reference,reporter
http://196.251.90.44:8888/supershell/login/,botnet_cc,Indicator that identifies a botnet command&control server (C&C),url,URL that is used for botnet Command&control (C&C),unknown,Unknown malware,,https://malpedia.caad.fkie.fraunhofer.de/details/unknown,100,2025-02-18 03:00:03 UTC,,,antiphishorg
185.147.125.146:425,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-18 02:58:38 UTC,,,Bitsight
123.30.186.249:443,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.cobalt_strike,Cobalt Strike,"Agentemis,BEACON,CobaltStrike,cobeacon",https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,75,2025-02-18 02:47:12 UTC,,,abuse_ch
google.baobecgiang.net,botnet_cc,Indicator that identifies a botnet command&control server (C&C),domain,Domain that is used for botnet Command&control (C&C),win.cobalt_strike,Cobalt Strike,"Agentemis,BEACON,CobaltStrike,cobeacon",https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,75,2025-02-18 02:46:51 UTC,,,abuse_ch
185.42.12.45:428,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-18 02:05:10 UTC,,,Bitsight
185.7.214.51:423,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.tofsee,Tofsee,Gheg,https://malpedia.caad.fkie.fraunhofer.de/details/win.tofsee,100,2025-02-18 00:06:32 UTC,,,Bitsight
194.113.74.174:8000,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.mimikatz,MimiKatz,,https://malpedia.caad.fkie.fraunhofer.de/details/win.mimikatz,100,2025-02-18 00:01:55 UTC,,https://search.censys.io/hosts/194.113.74.174,DonPasci
152.42.230.191:80,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),elf.bashlite,Bashlite,"gayfgt,Gafgyt,qbot,torlus,lizkebab",https://malpedia.caad.fkie.fraunhofer.de/details/elf.bashlite,100,2025-02-18 00:01:45 UTC,,https://search.censys.io/hosts/152.42.230.191,DonPasci
193.35.17.242:8080,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),apk.ermac,ERMAC,,https://malpedia.caad.fkie.fraunhofer.de/details/apk.ermac,100,2025-02-18 00:01:32 UTC,,https://search.censys.io/hosts/193.35.17.242,DonPasci
13.208.165.189:4746,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.netsupportmanager_rat,NetSupportManager RAT,NetSupport,https://malpedia.caad.fkie.fraunhofer.de/details/win.netsupportmanager_rat,100,2025-02-18 00:01:30 UTC,,https://search.censys.io/hosts/13.208.165.189,DonPasci
181.162.178.164:8080,botnet_cc,Indicator that identifies a botnet command&control server (C&C),ip:port,ip:port combination that is used for botnet Command&control (C&C),win.quasar_rat,Quasar RAT,"CinaRAT,QuasarRAT,Yggdrasil",https://malpedia.caad.fkie.fraunhofer.de/details/win.quasar_rat,100,2025-02-18 00:01:24 UTC,,https://search.censys.io/hosts/181.162.178.164,DonPasci
